Title,Title20,Title29,ISSN,EISSN,Category name
CALDASIA,CALDASIA,CALDASIA,0366-5232,2357-3759,PLANT & ANIMAL SCIENCE
CALIDOSCOPIO,CALIDOSCOPIO,CALIDOSCOPIO,1679-8740,2177-6202,"SOCIAL SCIENCES, GENERAL"
CALIFORNIA AGRICULTURE,CALIF AGR,CALIF AGRIC,0008-0845,2160-8091,AGRICULTURAL SCIENCES
CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS REPORTS,CAL COOP OCEAN FISH,CAL COOP OCEAN FISH INVEST R,0575-3317,0575-3317,PLANT & ANIMAL SCIENCE
CALIFORNIA FISH AND GAME,CALIF FISH GAME,CALIF FISH GAME,0008-1078,2331-0405,PLANT & ANIMAL SCIENCE
CALIFORNIA FISH AND WILDLIFE JOURNAL,CALIF FISH WILDL J,CALIF FISH WILDL J,2689-419X,2689-4203,PLANT & ANIMAL SCIENCE
CALIFORNIA LAW REVIEW,CALIF LAW REV,CALIF LAW REV,0008-1221,1942-6542,"SOCIAL SCIENCES, GENERAL"
CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,CALIF MANAGE REV,0008-1256,2162-8564,ECONOMICS & BUSINESS
CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,CALPHAD,CALPHAD-COMPUT COUP PHASE DIA,0364-5916,1873-2984,MATERIALS SCIENCE
CAMBRIDGE JOURNAL OF ECONOMICS,CAMB J ECON,CAMB J ECON,0309-166X,1464-3545,ECONOMICS & BUSINESS
CAMBRIDGE JOURNAL OF EDUCATION,CAMB J EDUC,CAMB J EDUC,0305-764X,1469-3577,"SOCIAL SCIENCES, GENERAL"
CAMBRIDGE JOURNAL OF MATHEMATICS,CAMB J MATH,CAMB J MATH,2168-0930,2168-0949,MATHEMATICS
CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY,CAMB J REG ECON SOC,CAMB J REGIONS ECON SOC,1752-1378,1752-1386,ECONOMICS & BUSINESS
CAMBRIDGE LAW JOURNAL,CAMB LAW J,CAMB LAW J,0008-1973,1469-2139,"SOCIAL SCIENCES, GENERAL"
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,CAMB Q HEALTHC ETHIC,CAMB Q HEALTHC ETHICS,0963-1801,1469-2147,"SOCIAL SCIENCES, GENERAL"
CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS,CAMB REV INT AFF,CAMB REV INT AFF,0955-7571,1474-449X,"SOCIAL SCIENCES, GENERAL"
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,CAN ASSOC RADIOL J,CAN ASSOC RADIOL J,0846-5371,1488-2361,CLINICAL MEDICINE
CANADIAN ENTOMOLOGIST,CAN ENTOMOL,CAN ENTOMOL,0008-347X,1918-3240,PLANT & ANIMAL SCIENCE
CANADIAN FAMILY PHYSICIAN,CAN FAM PHYSICIAN,CAN FAM PHYS,0008-350X,1715-5258,CLINICAL MEDICINE
CANADIAN FIELD-NATURALIST,CAN FIELD NAT,CAN FIELD-NATUR,0008-3550,0008-3550,ENVIRONMENT/ECOLOGY
CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,CAN GEOGR-GEOGR CAN,CAN GEOGR-GEOGR CAN,0008-3658,1541-0064,"SOCIAL SCIENCES, GENERAL"
CANADIAN GEOTECHNICAL JOURNAL,CAN GEOTECH J,CAN GEOTECH J,0008-3674,1208-6010,ENGINEERING
CANADIAN HISTORICAL REVIEW,CAN HIST REV,CAN HIST REV,0008-3755,1710-1093,"SOCIAL SCIENCES, GENERAL"
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,CAN J ADM SCI,CAN J ADM SCI,0825-0383,1936-4490,ECONOMICS & BUSINESS
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,CAN J AGR ECON,CAN J AGR ECON-REV CAN AGROEC,0008-3976,1744-7976,ECONOMICS & BUSINESS
CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE,CAN J ANESTH,CAN J ANESTH,0832-610X,1496-8975,CLINICAL MEDICINE
CANADIAN JOURNAL OF ANIMAL SCIENCE,CAN J ANIM SCI,CAN J ANIM SCI,0008-3984,1918-1825,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,CAN J BEHAV SCI,CAN J BEHAV SCI,0008-400X,1879-2669,PSYCHIATRY/PSYCHOLOGY
CANADIAN JOURNAL OF CARDIOLOGY,CAN J CARDIOL,CAN J CARDIOL,0828-282X,1916-7075,CLINICAL MEDICINE
CANADIAN JOURNAL OF CHEMICAL ENGINEERING,CAN J CHEM ENG,CAN J CHEM ENG,0008-4034,1939-019X,CHEMISTRY
CANADIAN JOURNAL OF CHEMISTRY,CAN J CHEM,CAN J CHEM,0008-4042,1480-3291,CHEMISTRY
CANADIAN JOURNAL OF CHEMISTRY-REVUE CANADIENNE DE CHIMIE,,,,,CHEMISTRY
CANADIAN JOURNAL OF CIVIL ENGINEERING,CAN J CIVIL ENG,CAN J CIVIL ENG,0315-1468,1208-6029,ENGINEERING
CANADIAN JOURNAL OF CRIMINOLOGY AND CRIMINAL JUSTICE,CAN J CRIMINOL CRIM,CAN J CRIMINOL CRIM JUSTICE,1707-7753,1911-0219,"SOCIAL SCIENCES, GENERAL"
CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELOPPEMENT,CAN J DEV STUD,CAN J DEV STUD,0225-5189,2158-9100,"SOCIAL SCIENCES, GENERAL"
CANADIAN JOURNAL OF DIABETES,CAN J DIABETES,CAN J DIABETES,1499-2671,2352-3840,CLINICAL MEDICINE
CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH,CAN J DIET PRACT RES,CAN J DIET PRACT RES,1486-3847,2292-9592,AGRICULTURAL SCIENCES
CANADIAN JOURNAL OF EARTH SCIENCES,CAN J EARTH SCI,CAN J EARTH SCI,0008-4077,1480-3313,GEOSCIENCES
CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,CAN J ECON,CAN J ECON,0008-4085,1540-5982,ECONOMICS & BUSINESS
CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,CAN J ELECT COMPUT E,CAN J ELECT COMPUT ENG,0840-8688,0840-8688,ENGINEERING
CANADIAN JOURNAL OF EMERGENCY MEDICINE,CAN J EMERG MED,CAN J EMERG MED,1481-8035,1481-8043,CLINICAL MEDICINE
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,CAN J EXP PSYCHOL,CAN J EXP PSYCHOL,1196-1961,1878-7290,PSYCHIATRY/PSYCHOLOGY
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,CAN J FISH AQUAT SCI,CAN J FISHERIES AQUAT SCI,0706-652X,1205-7533,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF FOREST RESEARCH,CAN J FOREST RES,CAN J FOREST RES,0045-5067,1208-6037,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,,,,,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF GASTROENTEROLOGY,,,,,CLINICAL MEDICINE
CANADIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,CAN J GASTROENTEROL,CAN J GASTROENTEROL HEPATOL,2291-2789,2291-2797,CLINICAL MEDICINE
CANADIAN JOURNAL OF INFECTIOUS DISEASES & MEDICAL MICROBIOLOGY,CAN J INFECT DIS MED,CAN J INFECT DIS MED MICROBIO,1712-9532,1918-1493,IMMUNOLOGY
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,CAN J INFORM LIB SCI,CAN J INFORM LIB SCI,1195-096X,1920-7239,"SOCIAL SCIENCES, GENERAL"
CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES,CAN J MATH,CAN J MATH,0008-414X,1496-4279,MATHEMATICS
CANADIAN JOURNAL OF MICROBIOLOGY,CAN J MICROBIOL,CAN J MICROBIOL,0008-4166,1480-3275,MICROBIOLOGY
CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES,CAN J NEUROL SCI,CAN J NEUROL SCI,0317-1671,2057-0155,NEUROSCIENCE & BEHAVIOR
CANADIAN JOURNAL OF OCCUPATIONAL THERAPY-REVUE CANADIENNE D ERGOTHERAPIE,CAN J OCCUP THER,CAN J OCCUP THER,0008-4174,1911-9828,"SOCIAL SCIENCES, GENERAL"
CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE,CAN J OPHTHALMOL,CAN J OPHTHALMOL-J CAN OPHTAL,0008-4182,1715-3360,CLINICAL MEDICINE
CANADIAN JOURNAL OF PHYSICS,CAN J PHYS,CAN J PHYS,0008-4204,1208-6045,PHYSICS
CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,CAN J PHYSIOL PHARM,CAN J PHYSIOL PHARMACOL,0008-4212,1205-7541,PHARMACOLOGY & TOXICOLOGY
CANADIAN JOURNAL OF PLANT PATHOLOGY,CAN J PLANT PATHOL,CAN J PLANT PATHOL,0706-0661,1715-2992,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF PLANT PATHOLOGY-REVUE CANADIENNE DE PHYTOPATHOLOGIE,,,,,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF PLANT SCIENCE,CAN J PLANT SCI,CAN J PLANT SCI,0008-4220,1918-1833,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF PLASTIC SURGERY,CAN J PLAST SURG,CAN J PLAST SURG,1195-2199,1195-2199,CLINICAL MEDICINE
CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,CAN J POLIT SCI,CAN J POLIT SCI,0008-4239,1744-9324,"SOCIAL SCIENCES, GENERAL"
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,CAN J PSYCHIAT,CAN J PSYCHIATRY,0706-7437,1497-0015,PSYCHIATRY/PSYCHOLOGY
CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE,CAN J PUBLIC HEALTH,CAN J PUBL HEALTH-REV CAN SAN,0008-4263,1920-7476,"SOCIAL SCIENCES, GENERAL"
CANADIAN JOURNAL OF REMOTE SENSING,CAN J REMOTE SENS,CAN J REMOTE SENS,0703-8992,1712-7971,GEOSCIENCES
CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,CAN J SCH PSYCHOL,CAN J SCH PSYCHOL,0829-5735,2154-3984,PSYCHIATRY/PSYCHOLOGY
CANADIAN JOURNAL OF SOCIOLOGY-CAHIERS CANADIENS DE SOCIOLOGIE,CAN J SOCIOL,CAN J SOCIOL,0318-6431,0318-6431,"SOCIAL SCIENCES, GENERAL"
CANADIAN JOURNAL OF SOIL SCIENCE,CAN J SOIL SCI,CAN J SOIL SCI,0008-4271,1918-1841,AGRICULTURAL SCIENCES
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,CAN J STAT,CAN J STAT,0319-5724,1708-945X,MATHEMATICS
CANADIAN JOURNAL OF SURGERY,CAN J SURG,CAN J SURG,0008-428X,1488-2310,CLINICAL MEDICINE
CANADIAN JOURNAL OF UROLOGY,CAN J UROL,CAN J UROL,1195-9479,,CLINICAL MEDICINE
CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE,CAN J VET RES,CAN J VET RES,****-****,1928-9022,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF ZOOLOGY,CAN J ZOOL,CAN J ZOOL,0008-4301,1480-3283,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,,,,,PLANT & ANIMAL SCIENCE
CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT,CAN J AGING,CAN J AGING-REV CAN VIEILLISS,0714-9808,1710-1107,"SOCIAL SCIENCES, GENERAL"
CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES,CAN MATH BULL,CAN MATH BULL-BULL CAN MATH,0008-4395,1496-4287,MATHEMATICS
CANADIAN MEDICAL ASSOCIATION JOURNAL,CAN MED ASSOC J,CAN MED ASSN J,0820-3946,1488-2329,CLINICAL MEDICINE
CANADIAN METALLURGICAL QUARTERLY,CAN METALL QUART,CAN METALL QUART,0008-4433,1879-1395,MATERIALS SCIENCE
CANADIAN MINERALOGIST,CAN MINERAL,CAN MINERALOG,0008-4476,1499-1276,GEOSCIENCES
CANADIAN MINING JOURNAL,CAN MIN J,CAN MINING J,0008-4492,,GEOSCIENCES
CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,CAN MOD LANG REV,CAN MOD LANG REV,0008-4506,1710-1131,"SOCIAL SCIENCES, GENERAL"
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,CAN PSYCHOL,CAN PSYCHOL-PSYCHOL CAN,0708-5591,1878-7304,PSYCHIATRY/PSYCHOLOGY
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,CAN PUBLIC ADMIN,CAN PUBL ADMIN,0008-4840,1754-7121,"SOCIAL SCIENCES, GENERAL"
CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,CAN PUBLIC POL,CAN PUBLIC POL-ANAL POLIT,0317-0861,1911-9917,"SOCIAL SCIENCES, GENERAL"
CANADIAN RESPIRATORY JOURNAL,CAN RESPIR J,CAN RESPIR J,1198-2241,1916-7245,CLINICAL MEDICINE
CANADIAN REVIEW OF SOCIOLOGY-REVUE CANADIENNE DE SOCIOLOGIE,CAN REV SOCIOL,CAN REV SOCIOL,1755-6171,1755-618X,"SOCIAL SCIENCES, GENERAL"
CANADIAN STUDIES IN POPULATION,CAN STUD POPUL,CAN STUD POPUL,0380-1489,1927-629X,"SOCIAL SCIENCES, GENERAL"
CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE,CAN VET J,CAN VET J,0008-5286,0008-5286,PLANT & ANIMAL SCIENCE
CANADIAN WATER RESOURCES JOURNAL,CAN WATER RESOUR J,CAN WATER RESOUR J,0701-1784,1918-1817,ENVIRONMENT/ECOLOGY
CANCER,CANCER-AM CANCER SOC,CANCER,0008-543X,1097-0142,CLINICAL MEDICINE
CANCER & METABOLISM,CANCER METAB,CANCER METAB,****-****,2049-3002,CLINICAL MEDICINE
CANCER AND METASTASIS REVIEWS,CANCER METAST REV,CANCER METAST REV,0167-7659,1573-7233,CLINICAL MEDICINE
CANCER BIOLOGY & MEDICINE,CANCER BIOL MED,CANCER BIOL MED,2095-3941,2095-3941,CLINICAL MEDICINE
CANCER BIOLOGY & THERAPY,CANCER BIOL THER,CANCER BIOL THER,1538-4047,1555-8576,CLINICAL MEDICINE
CANCER BIOMARKERS,CANCER BIOMARK,CANCER BIOMARK,1574-0153,1875-8592,CLINICAL MEDICINE
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,CANCER BIOTHER RADIO,CANCER BIOTHER RADIOPHARM,1084-9785,1557-8852,PHARMACOLOGY & TOXICOLOGY
CANCER CAUSES & CONTROL,CANCER CAUSE CONTROL,CANCER CAUSE CONTROL,0957-5243,1573-7225,CLINICAL MEDICINE
CANCER CELL,CANCER CELL,CANCER CELL,1535-6108,1878-3686,MOLECULAR BIOLOGY & GENETICS
CANCER CELL INTERNATIONAL,CANCER CELL INT,CANCER CELL INT,****-****,1475-2867,MOLECULAR BIOLOGY & GENETICS
CANCER CHEMOTHERAPY AND PHARMACOLOGY,CANCER CHEMOTH PHARM,CANCER CHEMOTHER PHARMACOL,0344-5704,1432-0843,CLINICAL MEDICINE
CANCER COMMUNICATIONS,CANCER COMMUN,CANCER COMMUN,****-****,2523-3548,CLINICAL MEDICINE
CANCER CONTROL,CANCER CONTROL,CANCER CONTROL,1073-2748,1073-2748,CLINICAL MEDICINE
CANCER CYTOPATHOLOGY,CANCER CYTOPATHOL,CANCER CYTOPATHOL,1934-662X,1934-6638,CLINICAL MEDICINE
CANCER DISCOVERY,CANCER DISCOV,CANCER DISCOV,2159-8274,2159-8290,CLINICAL MEDICINE
CANCER EPIDEMIOLOGY,CANCER EPIDEMIOL,CANCER EPIDEMIOL,1877-7821,1877-783X,CLINICAL MEDICINE
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,CANCER EPIDEM BIOMAR,CANCER EPIDEM BIOMARKER PREV,1055-9965,1538-7755,"SOCIAL SCIENCES, GENERAL"
CANCER GENE THERAPY,CANCER GENE THER,CANCER GENE THERAPY,0929-1903,1476-5500,CLINICAL MEDICINE
CANCER GENETICS,CANCER GENET-NY,CANCER GENET,2210-7762,2210-7770,CLINICAL MEDICINE
CANCER GENOMICS & PROTEOMICS,CANCER GENOM PROTEOM,CANCER GENOMICS PROTEOMICS,1109-6535,1790-6245,CLINICAL MEDICINE
CANCER IMAGING,CANCER IMAGING,CANCER IMAGING,1740-5025,1470-7330,CLINICAL MEDICINE
CANCER IMMUNOLOGY IMMUNOTHERAPY,CANCER IMMUNOL IMMUN,CANCER IMMUNOL IMMUNOTHER,0340-7004,1432-0851,IMMUNOLOGY
CANCER IMMUNOLOGY RESEARCH,CANCER IMMUNOL RES,CANCER IMMUNOL RES,2326-6066,2326-6074,CLINICAL MEDICINE
CANCER INVESTIGATION,CANCER INVEST,CANCER INVEST,0735-7907,1532-4192,CLINICAL MEDICINE
CANCER JOURNAL,CANCER J,CANCER J,1528-9117,1540-336X,CLINICAL MEDICINE
CANCER LETTERS,CANCER LETT,CANCER LETT,0304-3835,1872-7980,CLINICAL MEDICINE
CANCER MANAGEMENT AND RESEARCH,CANCER MANAG RES,CANCER MANAG RES,1179-1322,1179-1322,CLINICAL MEDICINE
CANCER MEDICINE,CANCER MED-US,CANCER MED,2045-7634,2045-7634,CLINICAL MEDICINE
CANCER MICROENVIRONMENT,CANCER MICROENVIRON,CANCER MICROENVIRON,1875-2292,1875-2284,CLINICAL MEDICINE
CANCER NANOTECHNOLOGY,CANCER NANOTECHNOL,CANCER NANOTECHNOL,1868-6958,1868-6966,CLINICAL MEDICINE
CANCER NURSING,CANCER NURS,CANCER NURS,0162-220X,1538-9804,CLINICAL MEDICINE
CANCER PREVENTION RESEARCH,CANCER PREV RES,CANCER PREV RES,1940-6207,1940-6215,CLINICAL MEDICINE
CANCER RADIOTHERAPIE,CANCER RADIOTHER,CANCER RADIOTHER,1278-3218,1769-6658,CLINICAL MEDICINE
CANCER RESEARCH,CANCER RES,CANCER RES,0008-5472,1538-7445,CLINICAL MEDICINE
CANCER RESEARCH AND TREATMENT,CANCER RES TREAT,CANCER RES TREAT,1598-2998,2005-9256,CLINICAL MEDICINE
CANCER SCIENCE,CANCER SCI,CANCER SCI,1347-9032,1349-7006,CLINICAL MEDICINE
CANCER TREATMENT REVIEWS,CANCER TREAT REV,CANCER TREATMENT REV,0305-7372,1532-1967,CLINICAL MEDICINE
CANCERS,CANCERS,CANCERS,****-****,2072-6694,CLINICAL MEDICINE
CANDOLLEA,CANDOLLEA,CANDOLLEA,0373-2967,,PLANT & ANIMAL SCIENCE
CANNABIS AND CANNABINOID RESEARCH,CANNABIS CANNABINOID,CANNABIS CANNABINOID RES,2578-5125,2378-8763,PHARMACOLOGY & TOXICOLOGY
CARBOHYDRATE POLYMERS,CARBOHYD POLYM,CARBOHYD POLYM,0144-8617,1879-1344,CHEMISTRY
CARBOHYDRATE RESEARCH,CARBOHYD RES,CARBOHYD RES,0008-6215,1873-426X,CHEMISTRY
CARBON,CARBON,CARBON,0008-6223,1873-3891,CHEMISTRY
CARBON BALANCE AND MANAGEMENT,CARBON BAL MANAGE,CARBON BALANC MANAG,1750-0680,1750-0680,ENVIRONMENT/ECOLOGY
CARBON ENERGY,CARBON ENERGY,CARBON ENERGY,****-****,2637-9368,MATERIALS SCIENCE
CARBON LETTERS,CARBON LETT,CARBON LETT,1976-4251,2233-4998,MATERIALS SCIENCE
CARBON MANAGEMENT,CARBON MANAG,CARBON MANAG,1758-3004,1758-3012,ENVIRONMENT/ECOLOGY
CARBONATES AND EVAPORITES,CARBONATE EVAPORITE,CARBONATE EVAPORITE,0891-2556,1878-5212,GEOSCIENCES
CARCINOGENESIS,CARCINOGENESIS,CARCINOGENESIS,0143-3334,1460-2180,CLINICAL MEDICINE
CARDIOLOGY,CARDIOLOGY,CARDIOLOGY,0008-6312,1421-9751,CLINICAL MEDICINE
CARDIOLOGY CLINICS,CARDIOL CLIN,CARDIOL CLIN,0733-8651,1558-2264,CLINICAL MEDICINE
CARDIOLOGY IN REVIEW,CARDIOL REV,CARDIOL REV,1061-5377,1538-4683,CLINICAL MEDICINE
CARDIOLOGY IN THE YOUNG,CARDIOL YOUNG,CARDIOL YOUNG,1047-9511,1467-1107,CLINICAL MEDICINE
CARDIOLOGY JOURNAL,CARDIOL J,CARDIOL J,1897-5593,1898-018X,CLINICAL MEDICINE
CARDIOLOGY RESEARCH AND PRACTICE,CARDIOL RES PRACT,CARDIOL RES PRACT,2090-8016,2090-0597,CLINICAL MEDICINE
CARDIORENAL MEDICINE,CARDIORENAL MED,CARDIORENAL MED,1664-3828,1664-5502,CLINICAL MEDICINE
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,CARDIOVASC INTER RAD,CARDIOVASC INTERVEN RADIOL,0174-1551,1432-086X,CLINICAL MEDICINE
CARDIOVASCULAR DIABETOLOGY,CARDIOVASC DIABETOL,CARDIOVASC DIABETOL,****-****,1475-2840,CLINICAL MEDICINE
CARDIOVASCULAR DIAGNOSIS AND THERAPY,CARDIOVASC DIAGN THE,CARDIOVASC DIAGN THER,2223-3652,2223-3660,CLINICAL MEDICINE
CARDIOVASCULAR DRUGS AND THERAPY,CARDIOVASC DRUG THER,CARDIOVASC DRUG THERAPY,0920-3206,1573-7241,PHARMACOLOGY & TOXICOLOGY
CARDIOVASCULAR ENGINEERING AND TECHNOLOGY,CARDIOVASC ENG TECHN,CARDIOVASC ENG TECHNOL,1869-408X,1869-4098,CLINICAL MEDICINE
CARDIOVASCULAR JOURNAL OF AFRICA,CARDIOVASC J AFR,CARDIOVASC J AFR,1995-1892,1680-0745,CLINICAL MEDICINE
CARDIOVASCULAR PATHOLOGY,CARDIOVASC PATHOL,CARDIOVASC PATHOL,1054-8807,1879-1336,CLINICAL MEDICINE
CARDIOVASCULAR RESEARCH,CARDIOVASC RES,CARDIOVASC RES,0008-6363,1755-3245,CLINICAL MEDICINE
CARDIOVASCULAR THERAPEUTICS,CARDIOVASC THER,CARDIOVASC THER,1755-5914,1755-5922,PHARMACOLOGY & TOXICOLOGY
CARDIOVASCULAR THERAPY AND PREVENTION,CARDIOVASC THER PREV,CARDIOVASC THER PREVENT,1728-8800,,CLINICAL MEDICINE
CARDIOVASCULAR TOXICOLOGY,CARDIOVASC TOXICOL,CARDIOVASC TOXICOL,1530-7905,1559-0259,PHARMACOLOGY & TOXICOLOGY
CARDIOVASCULAR ULTRASOUND,CARDIOVASC ULTRASOUN,CARDIOVASC ULTRASOUND,****-****,1476-7120,CLINICAL MEDICINE
CAREER DEVELOPMENT AND TRANSITION FOR EXCEPTIONAL INDIVIDUALS,CAREER DEV TRANSIT E,CAREER DEV TRANSIT EXCEPT IND,2165-1434,2165-1442,"SOCIAL SCIENCES, GENERAL"
CAREER DEVELOPMENT INTERNATIONAL,CAREER DEV INT,CAREER DEV INT,1362-0436,1758-6003,ECONOMICS & BUSINESS
CAREER DEVELOPMENT QUARTERLY,CAREER DEV Q,CAREER DEVELOP QUART,0889-4019,2161-0045,PSYCHIATRY/PSYCHOLOGY
CARIBBEAN JOURNAL OF SCIENCE,CARIBB J SCI,CARIBB J SCI,0008-6452,0008-6452,ENVIRONMENT/ECOLOGY
CARIES RESEARCH,CARIES RES,CARIES RES,0008-6568,1421-976X,CLINICAL MEDICINE
CARNETS DE GEOLOGIE,CARNETS GEOL,CARNETS GEOL,1634-0744,1765-2553,GEOSCIENCES
CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,CARPATH J EARTH ENV,CARPATH J EARTH ENVIRON SCI,1842-4090,1844-489X,GEOSCIENCES
CARPATHIAN JOURNAL OF MATHEMATICS,CARPATHIAN J MATH,CARPATHIAN J MATH,1584-2851,1843-4401,MATHEMATICS
CARTILAGE,CARTILAGE,CARTILAGE,1947-6035,1947-6043,CLINICAL MEDICINE
CARTOGRAPHIC JOURNAL,CARTOGR J,CARTOGR J,0008-7041,1743-2774,"SOCIAL SCIENCES, GENERAL"
CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE,CARTOGR GEOGR INF SC,CARTOGR GEOGR INF SCI,1523-0406,1545-0465,"SOCIAL SCIENCES, GENERAL"
CARYOLOGIA,CARYOLOGIA,CARYOLOGIA,0008-7114,2165-5391,MOLECULAR BIOLOGY & GENETICS
CASE STUDIES IN CONSTRUCTION MATERIALS,CASE STUD CONSTR MAT,CASE STUD CONSTR MATER,2214-5095,2214-5095,MATERIALS SCIENCE
CASE STUDIES IN THERMAL ENGINEERING,CASE STUD THERM ENG,CASE STUD THERM ENG,2214-157X,2214-157X,ENGINEERING
CASTANEA,CASTANEA,CASTANEA,0008-7475,1938-4386,PLANT & ANIMAL SCIENCE
CATALYSIS COMMUNICATIONS,CATAL COMMUN,CATAL COMMUN,1566-7367,1873-3905,CHEMISTRY
CATALYSIS LETTERS,CATAL LETT,CATALYSIS LETT,1011-372X,1572-879X,CHEMISTRY
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,CATAL REV,CATAL REV-SCI ENG,0161-4940,1520-5703,CHEMISTRY
CATALYSIS SCIENCE & TECHNOLOGY,CATAL SCI TECHNOL,CATAL SCI TECHNOL,2044-4753,2044-4761,CHEMISTRY
CATALYSIS SURVEYS FROM ASIA,CATAL SURV ASIA,CATAL SURV ASIA,1571-1013,1574-9266,CHEMISTRY
CATALYSIS TODAY,CATAL TODAY,CATAL TODAY,0920-5861,1873-4308,CHEMISTRY
CATALYSTS,CATALYSTS,CATALYSTS,****-****,2073-4344,CHEMISTRY
CATENA,CATENA,CATENA,0341-8162,1872-6887,AGRICULTURAL SCIENCES
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,CATHETER CARDIO INTE,CATHETER CARDIOVASC INTERV,1522-1946,1522-726X,CLINICAL MEDICINE
CATHOLIC UNIVERSITY LAW REVIEW,CATHOL U LAW REV,CATH U LAW REV,0008-8390,0008-8390,"SOCIAL SCIENCES, GENERAL"
CATTLE PRACTICE,CATTLE PRACT,CATTLE PRACT,0969-1251,,PLANT & ANIMAL SCIENCE
CBE-LIFE SCIENCES EDUCATION,CBE-LIFE SCI EDUC,CBE-LIFE SCI EDUC,1931-7913,1931-7913,"SOCIAL SCIENCES, GENERAL"
CCAMLR SCIENCE,CCAMLR SCI,CCAMLR SCI,1023-4063,,PLANT & ANIMAL SCIENCE
